Modelo,F1-score,Balanced accuracy,Accuracy,ROC-AUC,Tiempo promedio (s),Tiempo total (s)
RandomForest,0.9255431606866624,0.8872973932632418,0.9288946408314912,0.9930259928945386,19.577876533780778,137.04513573646545
KNN,0.8348998579217138,0.787608426794251,0.8414688094222171,0.9360996454558094,0.194796085357666,1.363572597503662
SVM,0.6847383168534276,0.6116572864202899,0.7562292324229175,0.9124595325353138,34.50729557446071,241.5510690212249
MLP,0.8648345534814703,0.8041465157104971,0.8739616025619105,0.9754028757044684,1.9221617834908624,13.455132484436035
LSTM,0.5446683630331531,0.4293211170957795,0.6006847074810109,0.8159540450802838,2.4850113732474197,17.395079612731934
CNN,0.8739103516985173,0.8722440563879374,0.87003131769208,0.9887511432718448,2.73633987562997,19.15437912940979
