Modelo,F1-score,Balanced accuracy,Accuracy,ROC-AUC,Tiempo promedio (s),Tiempo total (s)
RandomForest,0.9578046529873498,0.938620037783279,0.958472651098758,0.9963352668867502,4.600610017776489,32.204270124435425
KNN,0.912630400811172,0.8386319572664391,0.914832677443382,0.9718305304954924,0.0966333321162632,0.6764333248138428
SVM,0.8690278009087727,0.7994701041461328,0.8784787689389153,0.9760680250045268,8.951016221727643,62.65711355209351
MLP,0.8790703471898131,0.8130767311175889,0.8856910185943685,0.979457382984263,2.0317200933183943,14.22204065322876
LSTM,0.8848059822470509,0.8326541039441138,0.8910098599066639,0.9818256343392198,2.5420232159750804,17.79416251182556
CNN,0.8967756263052967,0.8593088167729954,0.8928344704239967,0.9877219803714522,2.628849915095738,18.401949405670166
